X,BOROUGH,NEIGHBORHOOD,BUILDING.CLASS.CATEGORY,BLOCK,EASE.MENT,APARTMENT.NUMBER,RESIDENTIAL.UNITS,COMMERCIAL.UNITS,TOTAL.UNITS,LAND.SQUARE.FEET,GROSS.SQUARE.FEET,YEAR.BUILT,TAX.CLASS.AT.TIME.OF.SALE,BUILDING.CLASS.AT.TIME.OF.SALE,high.end,sale_year,sale_month,sale_day,sale_minus_built,building_class_same
107,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,393,NA,,TRUE,TRUE,TRUE,187,2703,1920,2,C7,0,2019,1,31,99,0
108,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,400,NA,,TRUE,FALSE,TRUE,356,2531,1900,2,C4,0,2018,10,17,118,0
112,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,389,NA,,FALSE,FALSE,FALSE,369.5,1772,1910,2,C6,0,2019,6,25,109,0
113,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,389,NA,,FALSE,FALSE,FALSE,369.5,1772,1920,2,C6,0,2018,10,25,98,0
114,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,401,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,C6,0,2018,11,15,118,0
115,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,401,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,C6,0,2019,4,30,119,0
116,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,402,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,C6,0,2019,5,31,119,0
117,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,404,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,C6,0,2019,4,12,119,0
118,1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL,377,NA,1,FALSE,FALSE,FALSE,369.5,19,1932,2,R1,0,2019,2,21,87,0
119,1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL,377,NA,1B,FALSE,FALSE,FALSE,369.5,455,1932,2,R1,0,2019,3,15,87,0
120,1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL,377,NA,2B,FALSE,FALSE,FALSE,369.5,455,1932,2,R1,1,2019,2,11,87,0
121,1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL,377,NA,3A,FALSE,FALSE,FALSE,369.5,1302,1932,2,R1,1,2019,2,14,87,0
122,1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL,405,NA,1,FALSE,FALSE,FALSE,369.5,265,1932,2,R1,0,2019,2,27,87,0
123,1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL,405,NA,B1,FALSE,FALSE,FALSE,369.5,2920,1932,2,R1,0,2018,11,13,86,0
124,1,ALPHABET CITY,16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT,387,NA,C1,FALSE,FALSE,FALSE,369.5,623,1951,2,R8,0,2019,3,26,68,0
125,1,ALPHABET CITY,22 STORE BUILDINGS,404,NA,,TRUE,TRUE,TRUE,635,807,1904,4,K4,1,2018,10,25,114,0
126,1,ALPHABET CITY,31 COMMERCIAL VACANT LAND,384,NA,,FALSE,FALSE,FALSE,574,1772,1932,4,V1,0,2018,12,19,86,0
127,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS,700,NA,,FALSE,FALSE,FALSE,369.5,1772,1932,2,R4,1,2019,9,25,87,0
129,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS,700,NA,,FALSE,FALSE,FALSE,369.5,1772,1932,2,R4,1,2019,9,26,87,0
130,1,CHELSEA,01 ONE FAMILY DWELLINGS,693,NA,,TRUE,TRUE,TRUE,11,2303,1910,1,S1,0,2019,2,28,109,0
132,1,CHELSEA,01 ONE FAMILY DWELLINGS,720,NA,,TRUE,FALSE,TRUE,98,1997,1901,1,A4,1,2019,9,3,118,0
133,1,CHELSEA,01 ONE FAMILY DWELLINGS,722,NA,,TRUE,FALSE,TRUE,52,2019,1970,1,A5,1,2018,12,18,48,0
135,1,CHELSEA,01 ONE FAMILY DWELLINGS,768,NA,,TRUE,FALSE,TRUE,87,2543,1901,1,A4,1,2019,4,11,118,0
136,1,CHELSEA,01 ONE FAMILY DWELLINGS,770,NA,,TRUE,FALSE,TRUE,318,1771,1901,1,A4,1,2018,10,19,117,0
137,1,CHELSEA,02 TWO FAMILY DWELLINGS,700,NA,,TRUE,TRUE,TRUE,372,2672,1910,1,S2,1,2019,3,13,109,0
138,1,CHELSEA,02 TWO FAMILY DWELLINGS,700,NA,,TRUE,TRUE,TRUE,372,2672,1910,1,S2,1,2019,3,13,109,0
139,1,CHELSEA,02 TWO FAMILY DWELLINGS,741,NA,,TRUE,FALSE,TRUE,288,2035,1900,1,B1,0,2018,10,25,118,0
140,1,CHELSEA,02 TWO FAMILY DWELLINGS,744,NA,,TRUE,FALSE,TRUE,12,1296,1910,1,B3,0,2018,12,27,108,0
141,1,CHELSEA,02 TWO FAMILY DWELLINGS,746,NA,,TRUE,FALSE,TRUE,24,1701,1901,1,B9,1,2019,1,3,118,0
142,1,CHELSEA,02 TWO FAMILY DWELLINGS,772,NA,,TRUE,FALSE,TRUE,19,1292,1901,1,B1,0,2019,9,3,118,0
143,1,CHELSEA,02 TWO FAMILY DWELLINGS,774,NA,,TRUE,FALSE,TRUE,800,1105,1900,1,B9,1,2019,8,27,119,0
144,1,CHELSEA,03 THREE FAMILY DWELLINGS,772,NA,,TRUE,FALSE,TRUE,777,1129,1901,1,C0,0,2019,8,26,118,0
145,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,719,NA,,TRUE,FALSE,TRUE,237,1554,1960,2,C5,0,2018,12,31,58,0
146,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,738,NA,,TRUE,FALSE,TRUE,513,779,1900,2,C5,0,2019,7,31,119,0
147,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,738,NA,,TRUE,FALSE,TRUE,669,1605,1900,2,C1,0,2019,7,31,119,0
148,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,738,NA,,TRUE,FALSE,TRUE,590,991,1904,2,C1,0,2019,7,31,115,0
149,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,745,NA,,TRUE,FALSE,TRUE,380,899,1900,2,C4,0,2019,2,21,119,0
150,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,745,NA,,TRUE,FALSE,TRUE,380,899,1900,2,C4,0,2019,2,21,119,0
151,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,745,NA,,TRUE,FALSE,TRUE,380,899,1900,2,C4,0,2019,2,21,119,0
152,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,765,NA,,TRUE,FALSE,TRUE,668,1497,1905,2,C1,0,2019,7,31,114,0
153,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,765,NA,,TRUE,FALSE,TRUE,415,780,1901,2,C4,0,2019,7,31,118,0
154,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,766,NA,,TRUE,FALSE,TRUE,308,2725,1930,2,C4,0,2019,8,14,89,0
155,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,769,NA,,TRUE,TRUE,TRUE,359,3035,1901,2,C7,0,2019,7,31,118,0
156,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,771,NA,,TRUE,FALSE,TRUE,379,3047,1901,2,C4,1,2018,10,30,117,0
157,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,795,NA,,TRUE,FALSE,TRUE,523,884,1910,2,C4,0,2019,5,31,109,0
158,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS,795,NA,,TRUE,FALSE,TRUE,523,884,1910,2,C4,0,2019,2,20,109,0
160,1,CHELSEA,08 RENTALS - ELEVATOR APARTMENTS,769,NA,,TRUE,FALSE,TRUE,291,2717,1920,2,D9,1,2018,11,7,98,0
161,1,CHELSEA,08 RENTALS - ELEVATOR APARTMENTS,770,NA,,TRUE,FALSE,TRUE,638,1575,1920,2,D1,0,2019,7,31,99,0
162,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,719,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,C6,0,2019,3,1,119,0
163,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,720,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,C6,0,2018,11,16,118,0
164,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,722,NA,,FALSE,FALSE,FALSE,369.5,1772,1910,2,C6,0,2019,8,12,109,0
165,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,722,NA,,FALSE,FALSE,FALSE,369.5,1772,1910,2,C6,0,2019,6,11,109,0
166,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,740,NA,,FALSE,FALSE,FALSE,369.5,1772,1920,2,C6,0,2019,6,18,99,0
167,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,740,NA,,FALSE,FALSE,FALSE,369.5,1772,1920,2,C6,0,2018,10,25,98,0
168,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,740,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,C6,0,2019,8,7,119,0
170,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,740,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,C6,0,2018,11,27,118,0
171,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,740,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,C6,0,2019,3,28,119,0
172,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,741,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,C6,0,2019,2,4,119,0
175,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,743,NA,,FALSE,FALSE,FALSE,369.5,1772,1920,2,C6,0,2019,7,30,99,0
176,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,743,NA,,FALSE,FALSE,FALSE,369.5,1772,1920,2,C6,0,2019,3,18,99,0
177,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,743,NA,,FALSE,FALSE,FALSE,369.5,1772,1920,2,C6,0,2018,12,19,98,0
178,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,744,NA,,FALSE,FALSE,FALSE,369.5,1772,1940,2,C6,0,2019,9,23,79,0
179,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,744,NA,,FALSE,FALSE,FALSE,369.5,1772,1940,2,C6,0,2019,5,31,79,0
180,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,744,NA,,FALSE,FALSE,FALSE,369.5,1772,1850,2,C6,0,2019,3,13,169,0
181,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,744,NA,,FALSE,FALSE,FALSE,369.5,1772,1850,2,C6,0,2019,5,2,169,0
182,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,744,NA,,FALSE,FALSE,FALSE,369.5,1772,1850,2,C6,0,2019,2,4,169,0
183,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,744,NA,,FALSE,FALSE,FALSE,369.5,1772,1940,2,C6,0,2019,8,14,79,0
185,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,744,NA,,FALSE,FALSE,FALSE,369.5,1772,1940,2,C6,0,2019,6,14,79,0
186,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,744,NA,,FALSE,FALSE,FALSE,369.5,1772,1940,2,C6,0,2019,6,6,79,0
187,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,744,NA,,FALSE,FALSE,FALSE,369.5,1772,1940,2,C6,0,2019,5,24,79,0
188,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,744,NA,,FALSE,FALSE,FALSE,369.5,1772,1940,2,C6,0,2018,11,8,78,0
189,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,745,NA,,FALSE,FALSE,FALSE,369.5,1772,1920,2,C6,0,2019,1,31,99,0
190,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,745,NA,,FALSE,FALSE,FALSE,369.5,1772,1920,2,C6,0,2019,1,15,99,0
191,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,745,NA,,FALSE,FALSE,FALSE,369.5,1772,1900,2,C6,0,2019,2,4,119,0
192,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,745,NA,,FALSE,FALSE,FALSE,369.5,1772,1864,2,C6,0,2019,9,19,155,0
193,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,746,NA,,FALSE,FALSE,FALSE,369.5,1772,1910,2,C6,0,2018,11,14,108,0
194,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,746,NA,,FALSE,FALSE,FALSE,369.5,1772,1910,2,C6,0,2019,4,18,109,0
196,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,765,NA,,FALSE,FALSE,FALSE,369.5,1772,1901,2,C6,0,2019,6,24,118,0
197,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,765,NA,,FALSE,FALSE,FALSE,369.5,1772,1915,2,C6,0,2019,1,30,104,0
198,1,CHELSEA,09 COOPS - WALKUP APARTMENTS,765,NA,,FALSE,FALSE,FALSE,369.5,1772,1915,2,C6,0,2018,11,7,103,0
